state,s_code,code,s_district,s_municipality
Schleswig-Holstein,010535358033,01053033,Giesensdorf,Ratzeburg
Schleswig-Holstein,010535358040,01053040,Groß Disnack,Ratzeburg
Schleswig-Holstein,010535358041,01053041,Groß Grönau,Ratzeburg
Schleswig-Holstein,010535358043,01053043,Groß Sarau,Ratzeburg
Schleswig-Holstein,010535358051,01053051,Harmsdorf,Ratzeburg
Schleswig-Holstein,010535358054,01053054,Hollenbek,Ratzeburg
Schleswig-Holstein,010535358057,01053057,Horst,Ratzeburg
Schleswig-Holstein,010535358062,01053062,Kittlitz,Ratzeburg
Schleswig-Holstein,010535358066,01053066,Klein Zecher,Ratzeburg
Schleswig-Holstein,010535358078,01053078,Kulpin,Ratzeburg
Schleswig-Holstein,010535358088,01053088,Mechow,Ratzeburg
Schleswig-Holstein,010535358093,01053093,Mustin,Ratzeburg
Schleswig-Holstein,010535358098,01053098,Pogeez,Ratzeburg
Schleswig-Holstein,010535358102,01053102,Römnitz,Ratzeburg
Schleswig-Holstein,010535358107,01053107,Salem,Ratzeburg
Schleswig-Holstein,010535358110,01053110,Schmilau,Ratzeburg
Schleswig-Holstein,010535358117,01053117,Seedorf,Ratzeburg
Schleswig-Holstein,010535358123,01053123,Sterley,Ratzeburg
Schleswig-Holstein,010535358136,01053136,Ziethen,Ratzeburg
Schleswig-Holstein,010535373,,Amt Schwarzenbek-Land,Schwarzenbek
Schleswig-Holstein,010535373007,01053007,Basthorst,Schwarzenbek
Schleswig-Holstein,010535373017,01053017,Brunstorf,Schwarzenbek
Schleswig-Holstein,010535373021,01053021,Dahmker,Schwarzenbek
Schleswig-Holstein,010535373027,01053027,Elmenhorst,Schwarzenbek
Schleswig-Holstein,010535373031,01053031,Fuhlenhagen,Schwarzenbek
Schleswig-Holstein,010535373036,01053036,Grabau,Schwarzenbek
Schleswig-Holstein,010535373042,01053042,Groß Pampau,Schwarzenbek
Schleswig-Holstein,010535373045,01053045,Grove,Schwarzenbek
Schleswig-Holstein,010535373047,01053047,Gülzow,Schwarzenbek
Schleswig-Holstein,010535373049,01053049,Hamfelde,Schwarzenbek
Schleswig-Holstein,010535373052,01053052,Havekost,Schwarzenbek
Schleswig-Holstein,010535373059,01053059,Kankelau,Schwarzenbek
Schleswig-Holstein,010535373060,01053060,Kasseburg,Schwarzenbek
Schleswig-Holstein,010535373070,01053070,Köthel,Schwarzenbek
Schleswig-Holstein,010535373071,01053071,Kollow,Schwarzenbek
Schleswig-Holstein,010535373076,01053076,Kuddewörde,Schwarzenbek
Schleswig-Holstein,010535373089,01053089,Möhnsen,Schwarzenbek
Schleswig-Holstein,010535373091,01053091,Mühlenrade,Schwarzenbek
Schleswig-Holstein,010535373106,01053106,Sahms,Schwarzenbek
Schleswig-Holstein,010535391,,Amt Sandesneben-Nusse,Sandesneben
Schleswig-Holstein,010535391025,01053025,Duvensee,Sandesneben
Schleswig-Holstein,010535391038,01053038,Grinau,Sandesneben
Schleswig-Holstein,010535391039,01053039,Groß Boden,Sandesneben
Schleswig-Holstein,010535391044,01053044,Groß Schenkenberg,Sandesneben
Schleswig-Holstein,010535391068,01053068,Klinkrade,Sandesneben
Schleswig-Holstein,010535391069,01053069,Koberg,Sandesneben
Schleswig-Holstein,010535391077,01053077,Kühsen,Sandesneben
Schleswig-Holstein,010535391079,01053079,Labenz,Sandesneben
Schleswig-Holstein,010535391081,01053081,Lankau,Sandesneben
Schleswig-Holstein,010535391085,01053085,Linau,Sandesneben
Schleswig-Holstein,010535391086,01053086,Lüchow,Sandesneben
Schleswig-Holstein,010535391096,01053096,Nusse,Sandesneben
Schleswig-Holstein,010535391097,01053097,Panten,Sandesneben
Schleswig-Holstein,010535391099,01053099,Poggensee,Sandesneben
Schleswig-Holstein,010535391101,01053101,Ritzerau,Sandesneben
Schleswig-Holstein,010535391108,01053108,Sandesneben,Sandesneben
Schleswig-Holstein,010535391109,01053109,Schiphorst,Sandesneben
Schleswig-Holstein,010535391112,01053112,Schönberg,Sandesneben
Schleswig-Holstein,010535391114,01053114,Schürensöhlen,Sandesneben
Schleswig-Holstein,010535391118,01053118,Siebenbäumen,Sandesneben
Schleswig-Holstein,010535391121,01053121,Sirksfelde,Sandesneben
Schleswig-Holstein,010535391122,01053122,Steinhorst,Sandesneben
Schleswig-Holstein,010535391124,01053124,Stubben,Sandesneben
Schleswig-Holstein,010535391127,01053127,Walksfelde,Sandesneben
Schleswig-Holstein,010535391130,01053130,Wentorf (Amt Sandesneben),Sandesneben
Schleswig-Holstein,010539105105,01053105,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",Dassendorf
Schleswig-Holstein,01054,,Nordfriesland,Husum
Schleswig-Holstein,010540033033,01054033,"Friedrichstadt, Stadt",Friedrichstadt
Schleswig-Holstein,010540056056,01054056,"Husum, Stadt",Husum
Schleswig-Holstein,010540108108,01054108,Reußenköge,Bredstedt
Schleswig-Holstein,010540138138,01054138,"Tönning, Stadt",Tönning
Schleswig-Holstein,010540168168,01054168,Sylt,Sylt
Schleswig-Holstein,010545417,,Amt Eiderstedt,Garding
Schleswig-Holstein,010545417035,01054035,"Garding, Kirchspiel",Garding
Schleswig-Holstein,010545417036,01054036,"Garding, Stadt",Garding
Schleswig-Holstein,010545417040,01054040,Grothusenkoog,Garding
Schleswig-Holstein,010545417063,01054063,Katharinenheerd,Garding
Schleswig-Holstein,010545417072,01054072,Kotzenbüll,Garding
Schleswig-Holstein,010545417090,01054090,Norderfriedrichskoog,Garding
Schleswig-Holstein,010545417095,01054095,Oldenswort,Garding
Schleswig-Holstein,010545417100,01054100,Osterhever,Garding
Schleswig-Holstein,010545417104,01054104,Poppenbüll,Garding
Schleswig-Holstein,010545417113,01054113,Sankt Peter-Ording,Garding
Schleswig-Holstein,010545417134,01054134,Tating,Garding
Schleswig-Holstein,010545417135,01054135,Tetenbüll,Garding
Schleswig-Holstein,010545417140,01054140,Tümlauer Koog,Garding
Schleswig-Holstein,010545417145,01054145,Vollerwiek,Garding
Schleswig-Holstein,010545417148,01054148,Welt,Garding
Schleswig-Holstein,010545417150,01054150,Westerhever,Garding
Schleswig-Holstein,010545439,,Amt Landschaft Sylt,Sylt/Westerland
Schleswig-Holstein,010545439046,01054046,Hörnum (Sylt),Sylt/Westerland
Schleswig-Holstein,010545439061,01054061,Kampen (Sylt),Sylt/Westerland
Schleswig-Holstein,010545439078,01054078,List auf Sylt,Sylt/Westerland
Schleswig-Holstein,010545439149,01054149,Wenningstedt-Braderup (Sylt),Sylt/Westerland
Schleswig-Holstein,010545453,,Amt Viöl,Viöl
Schleswig-Holstein,010545453003,01054003,Ahrenviöl,Viöl
Schleswig-Holstein,010545453004,01054004,Ahrenviölfeld,Viöl
Schleswig-Holstein,010545453011,01054011,Behrendorf,Viöl
Schleswig-Holstein,010545453013,01054013,Bondelum,Viöl
Schleswig-Holstein,010545453041,01054041,Haselund,Viöl
Schleswig-Holstein,010545453057,01054057,Immenstedt,Viöl
Schleswig-Holstein,010545453079,01054079,Löwenstedt,Viöl
Schleswig-Holstein,010545453092,01054092,Norstedt,Viöl
Schleswig-Holstein,010545453101,01054101,Oster-Ohrstedt,Viöl
Schleswig-Holstein,010545453118,01054118,Schwesing,Viöl
Schleswig-Holstein,010545453123,01054123,Sollwitt,Viöl
Schleswig-Holstein,010545453144,01054144,Viöl,Viöl
Schleswig-Holstein,010545453152,01054152,Wester-Ohrstedt,Viöl
Schleswig-Holstein,010545459,,Amt Pellworm,Husum
Schleswig-Holstein,010545459039,01054039,Gröde,Husum
Schleswig-Holstein,010545459050,01054050,Hallig Hooge,Husum
Schleswig-Holstein,010545459074,01054074,Langeneß,Husum
Schleswig-Holstein,010545459103,01054103,Pellworm,Husum
Schleswig-Holstein,010545488,,Amt Föhr-Amrum,Wyk auf Föhr
Schleswig-Holstein,010545488005,01054005,Alkersum,Wyk auf Föhr
Schleswig-Holstein,010545488015,01054015,Borgsum,Wyk auf Föhr
Schleswig-Holstein,010545488025,01054025,Dunsum,Wyk auf Föhr
Schleswig-Holstein,010545488083,01054083,Midlum,Wyk auf Föhr
Schleswig-Holstein,010545488085,01054085,Nebel,Wyk auf Föhr
Schleswig-Holstein,010545488087,01054087,Nieblum,Wyk auf Föhr
Schleswig-Holstein,010545488089,01054089,Norddorf auf Amrum,Wyk auf Föhr
Schleswig-Holstein,010545488094,01054094,Oevenum,Wyk auf Föhr
Schleswig-Holstein,010545488098,01054098,Oldsum,Wyk auf Föhr
Schleswig-Holstein,010545488129,01054129,Süderende,Wyk auf Föhr
Schleswig-Holstein,010545488143,01054143,Utersum,Wyk auf Föhr
Schleswig-Holstein,010545488158,01054158,Witsum,Wyk auf Föhr
Schleswig-Holstein,010545488160,01054160,Wittdün auf Amrum,Wyk auf Föhr
Schleswig-Holstein,010545488163,01054163,Wrixum,Wyk auf Föhr
Schleswig-Holstein,010545488164,01054164,"Wyk auf Föhr, Stadt",Wyk auf Föhr
Schleswig-Holstein,010545489,,Amt Südtondern,Niebüll
Schleswig-Holstein,010545489001,01054001,Achtrup,Niebüll
Schleswig-Holstein,010545489009,01054009,Aventoft,Niebüll
Schleswig-Holstein,010545489016,01054016,Bosbüll,Niebüll
